Sample_Name,nitrogen_percent
BI06_PIRE_TN,1.878
BI06_PIRE_TO,1.937
BI06_PIST_BN,1.672
BI06_PIST_BO,1.79
BI06_PIST_MN,1.63
BI06_PIST_MO,1.844
BI06_PIST_TN,1.518
BI06_PIST_TO,1.716
BI06_QUAL_B,3.902
BI06_QUAL_M,4.143
BI06_QUAL_T,3.517
BI06_QURU_B,3.314
BI06_QURU_M,3.213
BI06_QURU_T,3.059
IDS01_PIPU_TA,1.006
IDS05_COFL_B,1.8
IDS05_COFL_M,1.734
IDS05_PIVI_TA,1.1665
IDS10_QUVE_T,1.921
IDS23_LITU_B,2.922
IDS23_LITU_T,3.455
IDS25_LITU_M,2.669
IDS25_LITU_T,2.375
IDS25_RHMA_B,1.11
IDS25_TSCA_TA,1.0875
IDS34_HAVI_T,1.948
IDS35_TSCA_BA,1.455
IDS35_TSCA_MA,1.356
IDS36_MAAC_B,3.748
IDS36_MAAC_M,3.638
IDS36_MAAC_T,3.051
IDS40_KALA_T,1.217
IDS40_NYSY_B,2.179
IDS40_NYSY_M,1.685
IDS40_NYSY_T,1.834
IDS40_QUPR_B,2.2425
IDS40_QUPR_M,2.02
IDS40_QUPR_T,2.172
IDS40_SAAL_B,2.128
IDS40_SAAL_M,2.157
IDS40_SAAL_T,1.6035
MN01_ACSP_B,2.174
MN01_ACSP_T,2.554
MN01_BEPA_B,2.92
MN01_BEPA_M,2.767
MN01_BEPA_T,2.388
MN01_COAM_T,2.8845
MN01_PIST_BN,1.611
MN01_PIST_BO,1.317
MN01_PIST_MN,1.794
MN01_PIST_MO,1.358
MN01_PIST_TN,1.542
MN01_PIST_TO,1.271
MN02_ABBA_B2,1.444
MN02_ABBA_B3,1.298
MN02_ABBA_BN,1.474
MN02_ABBA_M2,1.401
MN02_ABBA_MN,1.4045
MN02_ABBA_T2,1.328
MN02_ABBA_TN,1.349
MN02_PIBA_MN,1.4
MN02_PIBA_MO,1.765
MN02_PIBA_TN,1.362
MN02_PIBA_TO,1.299
MN02_POTR_M,2.8585
MN02_POTR_T,2.961
MN03_PIRE_BN,1.104
MN03_PIRE_BO,1.183
MN03_PIRE_MN,1.034
MN03_PIRE_MO,1.154
MN03_PIRE_TN,1.084
MN03_PIRE_TO,1.1135
MN04_BEGL_T,2.487
MN04_LEGR_T,1.558
MN04_PIMA_B2,1.036
MN04_PIMA_B3,0.921
MN04_PIMA_BN,1.004
MN04_PIMA_M2,1.027
MN04_PIMA_M3,0.933
MN04_PIMA_MN,0.879
MN04_PIMA_T2,1.142
MN04_PIMA_T3,1.04
MN04_PIMA_TN,1.085
MN05_ABBA_B3,1.458
MN05_ABBA_BN,1.797
MN05_ABBA_M2,1.489
MN05_ABBA_M3,1.335
MN05_ABBA_MN,1.569
MN05_ABBA_T2,1.638
MN05_ABBA_T3,1.433
MN05_ABBA_TN,1.57
MN05_BEPA_B,2.286
MN05_BEPA_M,2.288
MN05_BEPA_T,2.171
MN05_COAM_T,2.636
MN05_POTR_B,2.879
MN05_POTR_M,3.049
MN05_POTR_T,3.047
MN06_ABBA_B2,1.172
MN06_ABBA_B3,1.099
MN06_ABBA_BN,1.452
MN06_ABBA_T2,1.2245
MN06_ABBA_T3,1.11
MN06_ABBA_TN,1.42
MN06_ACSP_T,2.184
MN06_ALIN_T,3.466
MN06_FRNI_B,3.261
MN06_FRNI_M,2.818
MN06_FRNI_T,2.7955
MN07_ABBA_B2,1.099
MN07_ABBA_B3,0.999
MN07_ABBA_BN,1.21
MN07_ABBA_T2,1.087
MN07_ABBA_T3,1.05
MN07_ABBA_TN,1.124
MN07_ALIN_T,2.865
MN07_THOC_B2,0.8045
MN07_THOC_B3,0.699
MN07_THOC_BN,0.807
MN07_THOC_M2,0.881
MN07_THOC_M3,0.869
MN07_THOC_MN,0.906
MN07_THOC_T2,0.839
MN07_THOC_T3,0.802
MN07_THOC_TN,0.9055
MN08_LALA_MN,2.33
MN08_LALA_TN,2.082
MN08_PIMA_B2,0.933
MN08_PIMA_B3,1.002
MN08_PIMA_BN,1.119
MN08_PIMA_M2,0.952
MN08_PIMA_M3,1.062
MN08_PIMA_MN,0.883
MN08_PIMA_T2,1.0315
MN08_PIMA_T3,1.007
MN08_PIMA_TN,0.969
MN09_ABBA_B2,1.545
MN09_ACSM_B,3.012
MN09_ACSM_M,3.342
MN09_ACSM_T,2.292
MN09_BEAL_B,3.641666667
MN09_BEAL_M,3.597
MN09_BEAL_T,3.315
MN09_THOC_B2,1.574
MN09_THOC_B3,1.286
MN09_THOC_BN,1.895
MN09_THOC_M2,1.233
MN09_THOC_M3,1.189
MN09_THOC_MN,1.4
MN09_THOC_T3,1.221
MN09_THOC_TN,1.521
NC01_ACRU_M,2.102
NC01_ACRU_T,1.92
NC01_FRAM_M,2.581
NC01_QURU_T,2.805
NC02_ACRU_M,2.224
NC02_TSCA_BO,1.633
NC02_TSCA_MO,1.373
NC03_FRAM_B,3.448
NC03_FRAM_M,3.139
NC03_FRAM_T,2.939
NC04_ACSM_B,2.679
NC04_FRAM_M,2.786
NC04_FRAM_T,2.611
NC04_TIAM_B,3.9415
NC04_TIAM_T,3.9295
NC05_ABBA_B2,1.396
NC05_ABBA_B3,1.191
NC05_ABBA_BN,1.636
NC05_ABBA_T2,1.482
